country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","13-01-2026 14:00:00",27.308328,84.531742,PM10,58,205,98
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","13-01-2026 14:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","13-01-2026 14:00:00",26.63086,84.90051,PM2.5,58,325,127
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","13-01-2026 14:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","13-01-2026 14:00:00",26.63086,84.90051,CO,16,29,18
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","13-01-2026 14:00:00",26.63086,84.90051,OZONE,2,8,5
India,Bihar,Munger,"Town Hall, Munger - BSPCB","13-01-2026 14:00:00",25.376776,86.471523,PM2.5,67,153,94
India,Bihar,Munger,"Town Hall, Munger - BSPCB","13-01-2026 14:00:00",25.376776,86.471523,PM10,53,101,72
India,Bihar,Munger,"Town Hall, Munger - BSPCB","13-01-2026 14:00:00",25.376776,86.471523,SO2,36,86,56
India,Bihar,Munger,"Town Hall, Munger - BSPCB","13-01-2026 14:00:00",25.376776,86.471523,CO,12,156,23
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-01-2026 14:00:00",26.11442,85.39813,CO,26,144,48
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-01-2026 14:00:00",26.1209,85.3647,PM2.5,92,135,118
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-01-2026 14:00:00",26.1209,85.3647,NO2,10,17,14
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-01-2026 14:00:00",26.1209,85.3647,SO2,4,8,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-01-2026 14:00:00",25.586562,85.043586,NO2,32,104,58
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-01-2026 14:00:00",25.592539,85.227158,PM2.5,61,78,72
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-01-2026 14:00:00",25.592539,85.227158,NO2,13,18,16
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-01-2026 14:00:00",25.592539,85.227158,CO,8,71,44
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-01-2026 14:00:00",25.610369,85.132568,PM2.5,49,251,126
India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-01-2026 14:00:00",25.619651,85.147382,NH3,4,5,5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,OZONE,11,27,18
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","13-01-2026 14:00:00",13.67,79.35,NH3,1,3,2
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","13-01-2026 14:00:00",13.67,79.35,SO2,2,10,4
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","13-01-2026 14:00:00",13.615387,79.409230,PM2.5,67,248,102
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","13-01-2026 14:00:00",13.615387,79.409230,CO,16,34,24
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","13-01-2026 14:00:00",16.536107,80.594233,PM10,67,90,77
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","13-01-2026 14:00:00",16.486692,80.699436,NO2,25,36,28
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-01-2026 14:00:00",26.071318,91.87488,PM2.5,96,305,153
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-01-2026 14:00:00",26.071318,91.87488,PM10,72,139,92
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-01-2026 14:00:00",26.071318,91.87488,NO2,5,8,7
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","13-01-2026 14:00:00",26.071318,91.87488,CO,34,61,50
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","13-01-2026 14:00:00",26.10887,91.589544,NO2,13,48,18
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","13-01-2026 14:00:00",26.10887,91.589544,NH3,5,8,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","13-01-2026 14:00:00",26.10887,91.589544,OZONE,10,15,14
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","13-01-2026 14:00:00",26.349082,92.68449,NO2,1,2,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","13-01-2026 14:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","13-01-2026 14:00:00",24.75746,84.366208,NH3,1,2,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","13-01-2026 14:00:00",25.42742023,86.13886079,SO2,27,32,29
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","13-01-2026 14:00:00",25.251013,86.989001,PM2.5,52,90,69
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","13-01-2026 14:00:00",25.251013,86.989001,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","13-01-2026 14:00:00",25.251013,86.989001,OZONE,8,28,15
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","13-01-2026 14:00:00",25.265194,87.012947,PM10,80,126,105
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","13-01-2026 14:00:00",14.465052,78.824187,PM10,35,173,107
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","13-01-2026 14:00:00",14.465052,78.824187,CO,18,40,36
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,PM2.5,66,187,90
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,PM10,92,152,110
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","13-01-2026 14:00:00",16.9872867,81.7363176,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","13-01-2026 14:00:00",16.509717,80.612222,PM2.5,89,133,101
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","13-01-2026 14:00:00",16.509717,80.612222,NH3,4,7,6
