latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
27.308328,84.531742,58.0,205.0,98.0
27.308328,84.531742,1.0,2.0,1.0
26.63086,84.90051,58.0,325.0,127.0
26.63086,84.90051,3.0,3.0,3.0
26.63086,84.90051,16.0,29.0,18.0
26.63086,84.90051,2.0,8.0,5.0
25.376776,86.471523,67.0,153.0,94.0
25.376776,86.471523,53.0,101.0,72.0
25.376776,86.471523,36.0,86.0,56.0
25.376776,86.471523,12.0,156.0,23.0
26.11442,85.39813,26.0,144.0,48.0
26.1209,85.3647,92.0,135.0,118.0
26.1209,85.3647,10.0,17.0,14.0
26.1209,85.3647,4.0,8.0,6.0
25.586562,85.043586,32.0,104.0,58.0
25.592539,85.227158,61.0,78.0,72.0
25.592539,85.227158,13.0,18.0,16.0
25.592539,85.227158,8.0,71.0,44.0
25.610369,85.132568,49.0,251.0,126.0
25.619651,85.147382,4.0,5.0,5.0
16.9872867,81.7363176,11.0,27.0,18.0
13.67,79.35,1.0,3.0,2.0
13.67,79.35,2.0,10.0,4.0
13.615387,79.40923,67.0,248.0,102.0
13.615387,79.40923,16.0,34.0,24.0
16.536107,80.594233,67.0,90.0,77.0
16.486692,80.699436,25.0,36.0,28.0
26.071318,91.87488,96.0,305.0,153.0
26.071318,91.87488,72.0,139.0,92.0
26.071318,91.87488,5.0,8.0,7.0
26.071318,91.87488,34.0,61.0,50.0
26.10887,91.589544,13.0,48.0,18.0
26.10887,91.589544,5.0,8.0,5.0
26.10887,91.589544,10.0,15.0,14.0
26.349082,92.68449,1.0,2.0,1.0
24.75746,84.366208,7.0,8.0,8.0
24.75746,84.366208,1.0,2.0,2.0
25.42742023,86.13886079,27.0,32.0,29.0
25.251013,86.989001,52.0,90.0,69.0
25.251013,86.989001,1.0,1.0,1.0
25.251013,86.989001,8.0,28.0,15.0
25.265194,87.012947,80.0,126.0,105.0
14.465052,78.824187,35.0,173.0,107.0
14.465052,78.824187,18.0,40.0,36.0
16.9872867,81.7363176,66.0,187.0,90.0
16.9872867,81.7363176,92.0,152.0,110.0
16.9872867,81.7363176,4.0,5.0,4.0
16.509717,80.612222,89.0,133.0,101.0
16.509717,80.612222,4.0,7.0,6.0
16.554731,80.64911,16.0,24.0,18.0
24.762518,84.982348,60.0,92.0,71.0
24.762518,84.982348,3.0,5.0,3.0
25.697189,85.2459,3.0,12.0,9.0
26.0881305,87.93840336,25.0,40.0,31.0
25.204762,85.51496,48.0,237.0,117.0
25.204762,85.51496,1.0,12.0,7.0
25.7808257,84.7446768,40.0,143.0,77.0
25.7808257,84.7446768,53.0,139.0,94.0
26.146529,87.454184,1.0,12.0,4.0
26.146529,87.454184,1.0,21.0,11.0
25.5626095,84.663264,30.0,75.0,51.0
30.735567,76.775714,61.0,128.0,85.0
30.735567,76.775714,4.0,55.0,23.0
30.751462,76.762879,170.0,317.0,273.0
30.751462,76.762879,102.0,174.0,145.0
30.751462,76.762879,1.0,25.0,6.0
21.194815,81.31477,15.0,40.0,29.0
21.194815,81.31477,39.0,86.0,57.0
21.194815,81.31477,6.0,24.0,9.0
21.194815,81.31477,2.0,47.0,18.0
21.185571,81.343175,18.0,18.0,18.0
21.185571,81.343175,3.0,3.0,3.0
21.224231,81.40835,26.0,105.0,58.0
22.08815,82.13737,26.0,98.0,62.0
